Barrier Name,Peclet,Width,Alongshore Length,Height,Depth,Diffusivity
Bastian,10.1728,455.40369,15820.5637,1.8656,4.36877,36304.05737
Caillou,-0.237115,250.08605,3909.11076,3.0104,4.45817,-55665.29388
Cat,0.065855,1160.0817,6146.83943,3.5169,11.83,122017.957
Chandeleur,-15.5806,1418.1119,23660.8536,1.2726,12.1743,-7392.38513
Dauphin,19.968,571.81089,27130.2705,4.9767,6.64867,21904.17131
Dernieres,1.47442,811.47007,8059.34967,2.0674,4.46867,27282.8531
Grand_Isle,0.510462,949.04148,13581.1162,2.9297,5.35595,147928.1442
Grand_Terre,0.443015,386.79954,4521.01633,1.3603,7.28607,44102.67389
Horn,-16.4594,676.34677,20549.5051,3.9831,10.1558,-10670.53717
Isle_Grand_Terre,0.179422,499.57822,5236.3953,1.9189,12.9136,72520.33463
Pelican 1,96.806,515.33347,5112.80811,0.2558,0.447083,2848.326056
Pelican 2,53.1173,498.46144,4573.84376,0.25011,0.442185,4256.632013
Petit_Bois,15.3178,374.95698,11009.2004,4.2147,1.4,13395.10851
Ship,4.84221,548.80674,13280.3333,4.8653,1.4,40117.87724
Timbalier 1,-1.16575,404.31612,7402.52377,2.3477,9.26843,-41669.24548
Timbalier 2,-0.654594,223.19502,2037.6137,2.3335,7.08851,-9661.968533
Whisky,0.611994,344.42642,6342.01037,3.9138,7.66585,70184.45654